Θユら戳,坝珇腹,戳る(秅),Θユ丁,Θユ基,Θユ计秖(B+S),る基,环る基,秨絃栋膙基 
20180331,CCF    ,201804     ,105400,15.5,2,-,-, 
20180331,CCF    ,201804     ,105400,15.5,2,-,-, 
20180331,CCF    ,201804     ,105400,15.5,2,-,-, 
20180331,CCF    ,201804     ,105411,15.5,2,-,-, 
20180331,CCF    ,201804     ,105411,15.5,4,-,-, 
20180331,CCF    ,201804     ,105412,15.5,14,-,-, 
20180331,CCF    ,201804     ,105412,15.5,2,-,-, 
20180331,CCF    ,201804     ,105412,15.5,2,-,-, 
20180331,CCF    ,201804     ,105412,15.5,2,-,-, 
20180331,CCF    ,201804     ,105944,15.5,2,-,-, 
20180331,CCF    ,201804     ,110015,15.5,2,-,-, 
20180331,CCF    ,201804     ,110038,15.55,24,-,-, 
20180331,CCF    ,201804     ,110046,15.5,2,-,-, 
20180331,CCF    ,201804     ,110046,15.5,12,-,-, 
20180331,CCF    ,201804     ,110046,15.5,4,-,-, 
20180331,CCF    ,201804     ,110114,15.45,4,-,-, 
20180331,CCF    ,201804     ,110114,15.45,2,-,-, 
20180331,CCF    ,201804     ,110114,15.45,12,-,-, 
20180331,CCF    ,201804     ,110114,15.45,8,-,-, 
20180331,CCF    ,201804     ,110114,15.45,38,-,-, 
20180331,CCF    ,201804     ,110158,15.5,2,-,-, 
20180331,CCF    ,201804     ,110158,15.5,4,-,-, 
20180331,CCF    ,201804     ,110158,15.5,12,-,-, 
20180331,CCF    ,201804     ,110200,15.45,2,-,-, 
20180331,CCF    ,201804     ,110200,15.45,4,-,-, 
20180331,CCF    ,201804     ,110308,15.45,2,-,-, 
20180331,CCF    ,201804     ,110354,15.45,8,-,-, 
20180331,CCF    ,201804     ,111242,15.5,10,-,-, 
20180331,CCF    ,201804     ,111242,15.5,2,-,-, 
20180331,CCF    ,201804     ,111252,15.5,2,-,-, 
20180331,CCF    ,201804     ,111252,15.5,4,-,-, 
20180331,CCF    ,201804     ,111252,15.5,4,-,-, 
20180331,CCF    ,201804     ,111335,15.5,2,-,-, 
20180331,CCF    ,201804     ,111559,15.5,2,-,-, 
20180331,CCF    ,201804/201805,112018,0,12,15.5,15.5, 
20180331,CCF    ,201804/201805,112208,0,12,15.5,15.5, 
20180331,CCF    ,201804/201805,112353,0,12,15.5,15.5, 
20180331,CCF    ,201804     ,112606,15.5,2,-,-, 
20180331,CCF    ,201804     ,113126,15.5,2,-,-, 
20180331,CCF    ,201804/201805,113700,0,12,15.5,15.5, 
20180331,CCF    ,201804     ,114738,15.5,2,-,-, 
20180331,CCF    ,201804     ,114943,15.5,2,-,-, 
20180331,CCF    ,201804     ,120214,15.45,2,-,-, 
20180331,CCF    ,201804     ,120856,15.45,2,-,-, 
20180331,CCF    ,201804     ,120856,15.45,4,-,-, 
20180331,CCF    ,201804     ,120856,15.45,20,-,-, 
20180331,CCF    ,201804     ,120856,15.45,6,-,-, 
20180331,CCF    ,201804     ,120856,15.45,30,-,-, 
20180331,CCF    ,201804     ,120856,15.45,2,-,-, 
20180331,CCF    ,201804     ,120856,15.45,18,-,-, 
20180331,CCF    ,201804     ,120856,15.45,14,-,-, 
20180331,CCF    ,201804     ,120856,15.45,2,-,-, 
20180331,CCF    ,201804     ,120856,15.45,4,-,-, 
20180331,CCF    ,201804     ,120858,15.4,12,-,-, 
20180331,CCF    ,201804     ,120901,15.4,30,-,-, 
20180331,CCF    ,201804     ,121228,15.45,2,-,-, 
20180331,CCF    ,201804     ,121235,15.45,2,-,-, 
20180331,CCF    ,201804     ,121249,15.45,2,-,-, 
20180331,CCF    ,201804     ,121252,15.45,20,-,-, 
20180331,CCF    ,201804     ,121252,15.45,8,-,-, 
20180331,CCF    ,201804     ,121252,15.45,2,-,-, 
20180331,CCF    ,201804     ,121252,15.45,2,-,-, 
20180331,CCF    ,201804     ,121252,15.45,2,-,-, 
20180331,CCF    ,201804     ,121252,15.45,2,-,-, 
20180331,CCF    ,201804     ,121257,15.5,2,-,-, 
20180331,CCF    ,201804     ,121257,15.5,96,-,-, 
20180331,CCF    ,201804     ,121257,15.5,2,-,-, 
20180331,CCF    ,201804     ,121258,15.55,20,-,-, 
20180331,CCF    ,201804     ,121333,15.5,4,-,-, 
20180331,CCF    ,201804     ,121413,15.55,4,-,-, 
20180331,CCF    ,201804     ,121419,15.55,6,-,-, 
